0 0.580648 0.204491
0.344828 0.609459 0.193339
0.689655 0.39766 0.30636
1.03448 0.877432 0.142957
1.37931 0.848513 0.19464
1.72414 0.864161 0.225476
2.06897 0.864239 0.176591
2.41379 0.749068 0.227067
2.75862 0.562729 0.269818
3.10345 0.710051 0.233051
3.44828 0.264611 0.255446
3.7931 0.134522 0.201986
4.13793 0.385165 0.235645
4.48276 0.238063 0.126738
4.82759 0.0141938 0.246382
5.17241 -0.720246 0.247899
5.51724 -0.899335 0.211179
5.86207 -1.0018 0.14178
6.2069 -1.35531 0.161611
6.55172 -2.14932 0.182808
6.89655 -2.22324 0.142614
7.24138 -2.80371 0.207168
7.58621 -2.41989 0.255174
7.93103 -3.81289 0.179022
8.27586 -3.83862 0.21709
8.62069 -4.2214 0.258575
8.96552 -5.28855 0.209733
9.31034 -5.56133 0.201754
9.65517 -5.46929 0.189443
10 -6.37134 0.267552
